MarketEvaluationPoint_mRID;ValidFrom;ValidTo;MeterReadingPeriodicity;MeteringMethod;MeteringGridArea_Domain_mRID;ConnectionState;EnergySupplier_MarketParticipant_mRID;BalanceResponsibleParty_MarketParticipant_mRID;InMeteringGridArea_Domain_mRID;OutMeteringGridArea_Domain_mRID;Parent_Domain_mRID;ServiceCategory_Kind;MarketEvaluationPointType;SettlementMethod;QuantityMeasurementUnit_Name;Product;Technology;OutMeteringGridArea_Domain_Owner_mRID;InMeteringGridArea_Domain_Owner_mRID;Meta
571313180000000081;2020-01-01T00:00Z;2020-01-02T00:00Z;PT15M;D01;800;D03;NULL;NULL;802;803;571313180000000074;FALSE;D20;NULL;K3;8716867000047 ;NULL;8100000000023;8100000000030;Exchange-Reactive energy MP, child 15min, connection state new, both in- and out-grid not owned
571313180000000081;2020-01-02T00:00Z;NULL;PT15M;D01;800;E22;NULL;NULL;802;803;571313180000000074;FALSE;D20;NULL;K3;8716867000047 ;NULL;8100000000023;8100000000030;Exchange-Reactive energy MP, child, 15min, connection state connected, both in- and out-grid not owned
571313180000000098;2020-01-01T00:00Z;2020-01-11T00:00Z;PT1H;D01;800;D03;NULL;NULL;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP connection state new
571313180000000098;2020-01-11T00:00Z;NULL;PT1H;D01;800;E22;8100000000108;8100000000207;NULL;NULL;NULL;TRUE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP, parent, electricalHeating, connection state connected, supplier A
571313180000000104;2020-01-11T00:00Z;NULL;PT1H;D03;800;E22;NULL;NULL;NULL;NULL;571313180000000098;TRUE;D14;;KWH;8716867000030 ;NULL;NULL;NULL;Electrical Heating MP, child, connection state connected
571313180000000111;2020-01-01T00:00Z;2020-01-11T00:00Z;PT1H;D01;800;D03;NULL;NULL;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP connection state new
571313180000000111;2020-01-11T00:00Z;2020-11-15T00:00Z;PT1H;D01;800;E22;8100000000108;8100000000207;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP connection state connected, suppler A
571313180000000111;2020-11-15T00:00Z;NULL;PT1H;D01;800;D02;NULL;NULL;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP, connection state closed down
571313180000000128;2020-01-01T00:00Z;2020-01-02T00:00Z;PT1H;D01;800;D03;NULL;NULL;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP connection state new
571313180000000128;2020-01-02T00:00Z;2020-01-03T00:00Z;PT1H;D01;800;E22;8100000000108;8100000000207;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP, connection state connected, supplier A
571313180000000128;2020-01-03T00:00Z;NULL;PT1H;D01;800;E23;8100000000108;8100000000207;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP connection state disconnected, supplier A
